x:-0.021159 y:0.021274 z:0.039923
x:-0.020860 y:0.021393 z:0.040143
x:-0.020558 y:0.021510 z:0.040359
x:-0.020253 y:0.021625 z:0.040571
x:-0.019944 y:0.021738 z:0.040779
x:-0.019633 y:0.021848 z:0.040984
x:-0.019320 y:0.021957 z:0.041184
x:-0.019003 y:0.022063 z:0.041380
x:-0.018684 y:0.022168 z:0.041572
x:-0.018363 y:0.022270 z:0.041761
x:-0.018039 y:0.022370 z:0.041946
x:-0.017713 y:0.022468 z:0.042126
x:-0.017384 y:0.022564 z:0.042303
x:-0.017054 y:0.022658 z:0.042476
x:-0.016721 y:0.022749 z:0.042646
x:-0.016386 y:0.022839 z:0.042811
x:-0.016049 y:0.022927 z:0.042973
x:-0.015710 y:0.023012 z:0.043131
x:-0.015369 y:0.023096 z:0.043285
x:-0.015027 y:0.023177 z:0.043435
x:-0.014682 y:0.023257 z:0.043582
x:-0.014336 y:0.023334 z:0.043724
x:-0.013989 y:0.023410 z:0.043864
x:-0.013639 y:0.023483 z:0.043999
x:-0.013288 y:0.023554 z:0.044131
x:-0.012936 y:0.023624 z:0.044259
x:-0.012582 y:0.023691 z:0.044383
x:-0.012227 y:0.023757 z:0.044504
x:-0.011870 y:0.023820 z:0.044621
x:-0.011512 y:0.023882 z:0.044735
x:-0.011153 y:0.023941 z:0.044845
x:-0.010793 y:0.023999 z:0.044952
x:-0.010431 y:0.024055 z:0.045054
x:-0.010069 y:0.024108 z:0.045154
x:-0.009705 y:0.024160 z:0.045249
x:-0.009340 y:0.024210 z:0.045342
x:-0.008975 y:0.024258 z:0.045430
x:-0.008608 y:0.024304 z:0.045516
x:-0.008241 y:0.024348 z:0.045597
x:-0.007872 y:0.024391 z:0.045676
x:-0.007503 y:0.024431 z:0.045750
x:-0.007133 y:0.024470 z:0.045822
x:-0.006763 y:0.024506 z:0.045889
x:-0.006391 y:0.024541 z:0.045954
x:-0.006019 y:0.024574 z:0.046015
x:-0.005646 y:0.024605 z:0.046072
x:-0.005273 y:0.024634 z:0.046126
x:-0.004899 y:0.024662 z:0.046177
x:-0.004525 y:0.024687 z:0.046224
x:-0.004150 y:0.024711 z:0.046268
x:-0.003775 y:0.024733 z:0.046308
x:-0.003399 y:0.024753 z:0.046345
x:-0.003023 y:0.024771 z:0.046379
x:-0.002646 y:0.024787 z:0.046409
x:-0.002270 y:0.024801 z:0.046436
x:-0.001893 y:0.024814 z:0.046459
x:-0.001515 y:0.024825 z:0.046479
x:-0.001138 y:0.024834 z:0.046496
x:-0.000760 y:0.024841 z:0.046509
x:-0.000382 y:0.024846 z:0.046519
x:-0.000004 y:0.024849 z:0.046526
x:0.000374 y:0.024851 z:0.046529
x:0.000753 y:0.024851 z:0.046528
x:0.001131 y:0.024849 z:0.046525
x:0.001509 y:0.024845 z:0.046518
x:0.001887 y:0.024839 z:0.046507
x:0.002265 y:0.024831 z:0.046493
x:0.002643 y:0.024822 z:0.046476
x:0.003021 y:0.024811 z:0.046455
x:0.003399 y:0.024798 z:0.046431
x:0.003777 y:0.024783 z:0.046403
x:0.004154 y:0.024766 z:0.046372
x:0.004531 y:0.024747 z:0.046338
x:0.004908 y:0.024727 z:0.046300
x:0.005284 y:0.024704 z:0.046259
x:0.005660 y:0.024680 z:0.046214
x:0.006036 y:0.024654 z:0.046166
x:0.006411 y:0.024626 z:0.046114
x:0.006786 y:0.024596 z:0.046058
x:0.007160 y:0.024564 z:0.046000
x:0.007533 y:0.024530 z:0.045937
x:0.007906 y:0.024495 z:0.045871
x:0.008279 y:0.024457 z:0.045802
x:0.008651 y:0.024418 z:0.045729
x:0.009021 y:0.024377 z:0.045652
x:0.009392 y:0.024333 z:0.045572
x:0.009761 y:0.024288 z:0.045488
x:0.010130 y:0.024241 z:0.045401
x:0.010497 y:0.024192 z:0.045310
x:0.010864 y:0.024141 z:0.045215
x:0.011230 y:0.024088 z:0.045117
x:0.011594 y:0.024033 z:0.045015
x:0.011958 y:0.023976 z:0.044909
x:0.012320 y:0.023918 z:0.044799
x:0.012682 y:0.023857 z:0.044686
x:0.013042 y:0.023794 z:0.044569
x:0.013400 y:0.023729 z:0.044448
x:0.013758 y:0.023662 z:0.044324
x:0.014114 y:0.023593 z:0.044196
x:0.014468 y:0.023522 z:0.044063
x:0.014821 y:0.023449 z:0.043927
x:0.015173 y:0.023374 z:0.043788
x:0.015522 y:0.023297 z:0.043644
x:0.015871 y:0.023218 z:0.043496
x:0.016217 y:0.023136 z:0.043345
x:0.016561 y:0.023053 z:0.043189
x:0.016904 y:0.022968 z:0.043030
x:0.017245 y:0.022880 z:0.042867
x:0.017583 y:0.022791 z:0.042699
x:0.017920 y:0.022699 z:0.042528
x:0.018254 y:0.022605 z:0.042353
x:0.018586 y:0.022509 z:0.042174
x:0.018916 y:0.022411 z:0.041990
x:0.019244 y:0.022311 z:0.041803
x:0.019569 y:0.022208 z:0.041611
x:0.019891 y:0.022104 z:0.041416
x:0.020211 y:0.021997 z:0.041216
x:0.020528 y:0.021888 z:0.041013
x:0.020842 y:0.021777 z:0.040805
x:0.021154 y:0.021664 z:0.040593
x:0.021462 y:0.021548 z:0.040377
x:0.021768 y:0.021431 z:0.040157
x:0.022070 y:0.021311 z:0.039932
x:0.022070 y:0.021311 z:0.039932
x:0.022070 y:0.021311 z:0.039932
x:0.022070 y:0.021311 z:0.039932
x:-0.021869 y:0.020729 z:0.039682
x:-0.021576 y:0.020853 z:0.039915
x:-0.021281 y:0.020975 z:0.040144
x:-0.020982 y:0.021094 z:0.040370
x:-0.020680 y:0.021212 z:0.040591
x:-0.020375 y:0.021328 z:0.040809
x:-0.020067 y:0.021441 z:0.041022
x:-0.019756 y:0.021552 z:0.041231
x:-0.019442 y:0.021661 z:0.041437
x:-0.019125 y:0.021768 z:0.041638
x:-0.018806 y:0.021873 z:0.041836
x:-0.018484 y:0.021976 z:0.042029
x:-0.018160 y:0.022077 z:0.042219
x:-0.017833 y:0.022175 z:0.042405
x:-0.017504 y:0.022272 z:0.042586
x:-0.017172 y:0.022366 z:0.042764
x:-0.016839 y:0.022459 z:0.042938
x:-0.016503 y:0.022549 z:0.043108
x:-0.016165 y:0.022637 z:0.043275
x:-0.015824 y:0.022723 z:0.043437
x:-0.015482 y:0.022808 z:0.043595
x:-0.015138 y:0.022890 z:0.043750
x:-0.014792 y:0.022970 z:0.043901
x:-0.014445 y:0.023048 z:0.044048
x:-0.014095 y:0.023124 z:0.044191
x:-0.013744 y:0.023198 z:0.044331
x:-0.013391 y:0.023270 z:0.044467
x:-0.013037 y:0.023340 z:0.044599
x:-0.012681 y:0.023408 z:0.044727
x:-0.012324 y:0.023474 z:0.044851
x:-0.011965 y:0.023538 z:0.044972
x:-0.011605 y:0.023600 z:0.045089
x:-0.011244 y:0.023661 z:0.045203
x:-0.010881 y:0.023719 z:0.045312
x:-0.010517 y:0.023775 z:0.045418
x:-0.010152 y:0.023829 z:0.045521
x:-0.009786 y:0.023882 z:0.045620
x:-0.009419 y:0.023932 z:0.045715
x:-0.009050 y:0.023981 z:0.045806
x:-0.008681 y:0.024027 z:0.045894
x:-0.008311 y:0.024072 z:0.045978
x:-0.007940 y:0.024115 z:0.046059
x:-0.007568 y:0.024155 z:0.046136
x:-0.007195 y:0.024194 z:0.046210
x:-0.006821 y:0.024231 z:0.046280
x:-0.006447 y:0.024266 z:0.046346
x:-0.006072 y:0.024300 z:0.046409
x:-0.005696 y:0.024331 z:0.046468
x:-0.005319 y:0.024361 z:0.046524
x:-0.004942 y:0.024388 z:0.046576
x:-0.004565 y:0.024414 z:0.046625
x:-0.004187 y:0.024438 z:0.046670
x:-0.003808 y:0.024460 z:0.046712
x:-0.003429 y:0.024480 z:0.046750
x:-0.003050 y:0.024498 z:0.046785
x:-0.002670 y:0.024515 z:0.046816
x:-0.002290 y:0.024529 z:0.046843
x:-0.001909 y:0.024542 z:0.046868
x:-0.001529 y:0.024553 z:0.046888
x:-0.001148 y:0.024562 z:0.046905
x:-0.000767 y:0.024569 z:0.046919
x:-0.000385 y:0.024574 z:0.046929
x:-0.000004 y:0.024577 z:0.046936
x:0.000378 y:0.024579 z:0.046939
x:-15.445125 y:0.179423 z:0.405852
x:-15.440716 y:0.179407 z:0.532218
x:-15.434684 y:0.179378 z:0.658524
x:-0.573166 y:-87.306829 z:47.529375
x:15.356348 y:-11.962382 z:5.943740
x:15.348669 y:-11.965285 z:5.819160
x:15.339376 y:-11.968551 z:5.694896
x:0.003429 y:0.024524 z:0.046837
x:0.003810 y:0.024509 z:0.046808
x:0.004191 y:0.024492 z:0.046776
x:0.004571 y:0.024473 z:0.046740
x:0.004951 y:0.024452 z:0.046701
x:0.005331 y:0.024429 z:0.046658
x:0.005710 y:0.024405 z:0.046612
x:0.006088 y:0.024378 z:0.046562
x:0.006467 y:0.024350 z:0.046508
x:0.006844 y:0.024319 z:0.046451
x:0.007222 y:0.024287 z:0.046390
x:0.007598 y:0.024253 z:0.046326
x:0.007974 y:0.024217 z:0.046257
x:0.008349 y:0.024179 z:0.046186
x:0.008724 y:0.024139 z:0.046110
x:0.009097 y:0.024097 z:0.046031
x:0.009470 y:0.024053 z:0.045948
x:0.009842 y:0.024007 z:0.045861
x:0.010213 y:0.023960 z:0.045771
x:0.010584 y:0.023910 z:0.045677
x:0.010953 y:0.023858 z:0.045579
x:0.011321 y:0.023805 z:0.045478
x:0.011688 y:0.023749 z:0.045372
x:0.012054 y:0.023692 z:0.045263
x:0.012418 y:0.023632 z:0.045150
x:0.012782 y:0.023570 z:0.045033
x:0.013144 y:0.023507 z:0.044913
x:0.013504 y:0.023441 z:0.044788
x:0.013864 y:0.023374 z:0.044660
x:0.014221 y:0.023304 z:0.044528
