x:-3.023979 y:4.608459 z:8.343719
x:-2.953840 y:4.618724 z:8.363147
x:-2.883624 y:4.628726 z:8.382101
x:-2.813336 y:4.638465 z:8.400583
x:-2.742976 y:4.647942 z:8.418594
x:-2.672548 y:4.657157 z:8.436135
x:-2.602053 y:4.666112 z:8.453207
x:-2.531494 y:4.674807 z:8.469812
x:-2.460873 y:4.683242 z:8.485950
x:-2.390192 y:4.691419 z:8.501622
x:-2.319453 y:4.699337 z:8.516829
x:-2.248657 y:4.706997 z:8.531572
x:-2.177808 y:4.714401 z:8.545851
x:-2.106907 y:4.721548 z:8.559669
x:-2.035955 y:4.728438 z:8.573025
x:-1.964955 y:4.735074 z:8.585920
x:-1.893908 y:4.741454 z:8.598356
x:-1.822817 y:4.747580 z:8.610332
x:-1.751682 y:4.753452 z:8.621850
x:-1.680507 y:4.759070 z:8.632911
x:-1.609292 y:4.764435 z:8.643514
x:-1.538039 y:4.769547 z:8.653661
x:-1.466751 y:4.774408 z:8.663352
x:-1.395428 y:4.779016 z:8.672588
x:-1.324072 y:4.783373 z:8.681370
x:-1.252685 y:4.787478 z:8.689697
x:-1.181269 y:4.791333 z:8.697571
x:-1.109824 y:4.794937 z:8.704991
x:-1.038354 y:4.798291 z:8.711959
x:-0.966858 y:4.801395 z:8.718474
x:-0.895339 y:4.804250 z:8.724537
x:-0.823799 y:4.806855 z:8.730149
x:-0.752238 y:4.809212 z:8.735309
x:-0.680658 y:4.811319 z:8.740018
x:-0.609062 y:4.813178 z:8.744276
x:-0.537449 y:4.814788 z:8.748084
x:-0.465822 y:4.816149 z:8.751441
x:-0.394182 y:4.817263 z:8.754347
x:-0.322531 y:4.818129 z:8.756804
x:-0.250870 y:4.818746 z:8.758810
x:-0.179201 y:4.819116 z:8.760366
x:-0.107525 y:4.819238 z:8.761472
x:-0.035843 y:4.819112 z:8.762127
x:0.035843 y:4.818739 z:8.762333
x:0.107532 y:4.818118 z:8.762087
x:0.179222 y:4.817249 z:8.761392
x:0.250912 y:4.816133 z:8.760246
x:0.322599 y:4.814769 z:8.758649
x:0.394284 y:4.813157 z:8.756601
x:0.465964 y:4.811298 z:8.754101
x:0.537637 y:4.809190 z:8.751150
x:0.609303 y:4.806835 z:8.747748
x:0.680960 y:4.804231 z:8.743892
x:0.752606 y:4.801380 z:8.739584
x:0.824240 y:4.798280 z:8.734823
x:0.895860 y:4.794931 z:8.729609
x:0.967464 y:4.791334 z:8.723940
x:1.039052 y:4.787487 z:8.717817
x:1.110621 y:4.783391 z:8.711239
x:1.182170 y:4.779046 z:8.704205
x:1.253697 y:4.774452 z:8.696715
x:1.325200 y:4.769607 z:8.688768
x:1.396679 y:4.764512 z:8.680364
x:1.468130 y:4.759167 z:8.671501
x:1.539553 y:4.753570 z:8.662179
x:1.610946 y:4.747723 z:8.652397
x:1.682306 y:4.741624 z:8.642155
x:1.753633 y:4.735273 z:8.631452
x:1.824924 y:4.728669 z:8.620286
x:1.896177 y:4.721813 z:8.608658
x:1.967391 y:4.714704 z:8.596565
x:2.038563 y:4.707341 z:8.584008
x:2.109692 y:4.699725 z:8.570985
x:2.180775 y:4.691854 z:8.557495
x:2.251811 y:4.683728 z:8.543538
x:2.322798 y:4.675346 z:8.529112
x:2.393733 y:4.666709 z:8.514216
x:2.464614 y:4.657815 z:8.498849
x:2.535439 y:4.648665 z:8.483010
x:2.606206 y:4.639257 z:8.466698
x:2.676913 y:4.629591 z:8.449913
x:2.747556 y:4.619667 z:8.432651
x:2.818135 y:4.609484 z:8.414914
x:2.888646 y:4.599041 z:8.396699
x:2.959087 y:4.588337 z:8.378005
x:3.029456 y:4.577374 z:8.358831
x:3.099750 y:4.566148 z:8.339175
x:3.169966 y:4.554661 z:8.319037
x:3.240102 y:4.542911 z:8.298416
x:3.310154 y:4.530898 z:8.277309
x:3.380122 y:4.518621 z:8.255716
x:3.450000 y:4.506079 z:8.233635
x:3.519787 y:4.493273 z:8.211065
x:3.589480 y:4.480201 z:8.188006
x:3.659076 y:4.466862 z:8.164454
x:3.728571 y:4.453256 z:8.140409
x:3.797963 y:4.439383 z:8.115871
x:3.867248 y:4.425241 z:8.090836
x:3.936424 y:4.410831 z:8.065305
x:4.005486 y:4.396150 z:8.039275
x:4.074432 y:4.381199 z:8.012746
x:4.143258 y:4.365978 z:7.985715
x:4.211961 y:4.350484 z:7.958183
x:4.280537 y:4.334719 z:7.930146
x:4.348983 y:4.318680 z:7.901604
x:4.417294 y:4.302368 z:7.872556
x:4.485468 y:4.285782 z:7.843000
x:-4.490864 y:4.262792 z:7.852436
x:-4.422814 y:4.278620 z:7.882394
x:-4.354622 y:4.294172 z:7.911849
x:-4.286290 y:4.309449 z:7.940804
x:-4.217823 y:4.324452 z:7.969259
x:-4.149224 y:4.339181 z:7.997215
x:-4.080497 y:4.353637 z:8.024674
x:-4.011645 y:4.367821 z:8.051636
x:-3.942670 y:4.381734 z:8.078104
x:-3.873577 y:4.395376 z:8.104078
x:-3.804368 y:4.408747 z:8.129559
x:-3.735047 y:4.421850 z:8.154549
x:-3.665616 y:4.434684 z:8.179048
x:-3.596079 y:4.447250 z:8.203059
x:-3.526439 y:4.459550 z:8.226582
x:-3.456697 y:4.471583 z:8.249618
x:-3.386858 y:4.483350 z:8.272168
x:-3.316923 y:4.494852 z:8.294235
x:-3.246896 y:4.506090 z:8.315817
x:-3.176779 y:4.517064 z:8.336918
x:-3.106575 y:4.527775 z:8.357538
x:-3.036287 y:4.538225 z:8.377678
x:-2.965916 y:4.548412 z:8.397338
x:-2.895466 y:4.558339 z:8.416521
x:-2.824938 y:4.568005 z:8.435227
x:-2.754335 y:4.577411 z:8.453457
x:-2.683660 y:4.586559 z:8.471213
x:-2.612915 y:4.595448 z:8.488494
x:-2.542102 y:4.604079 z:8.505303
x:-2.471223 y:4.612453 z:8.521639
x:-2.400280 y:4.620570 z:8.537505
x:-2.329276 y:4.628431 z:8.552900
x:-2.258213 y:4.636036 z:8.567826
x:-2.187092 y:4.643386 z:8.582284
x:-2.115916 y:4.650482 z:8.596273
x:-2.044687 y:4.657323 z:8.609796
x:-1.973407 y:4.663911 z:8.622853
x:-1.902077 y:4.670246 z:8.635445
x:-1.830700 y:4.676328 z:8.647571
x:-1.759277 y:4.682158 z:8.659234
x:-1.687811 y:4.687736 z:8.670434
x:-1.616303 y:4.693063 z:8.681170
x:-1.544755 y:4.698139 z:8.691445
x:-1.473168 y:4.702965 z:8.701258
x:-1.401545 y:4.707540 z:8.710611
x:-1.329888 y:4.711865 z:8.719502
x:-1.258197 y:4.715941 z:8.727934
x:-1.186475 y:4.719768 z:8.735907
x:-1.114724 y:4.723346 z:8.743420
x:-1.042944 y:4.726675 z:8.750475
x:-0.971138 y:4.729757 z:8.757071
x:-0.899308 y:4.732590 z:8.763209
x:-0.827454 y:4.735175 z:8.768890
x:-0.755580 y:4.737513 z:8.774114
x:-0.683685 y:4.739603 z:8.778880
x:-0.611772 y:4.741447 z:8.783190
x:-0.539842 y:4.743043 z:8.787042
x:-0.467898 y:4.744392 z:8.790439
x:-0.395940 y:4.745495 z:8.793379
x:-0.323970 y:4.746352 z:8.795862
x:-0.251990 y:4.746962 z:8.797889
x:-0.180001 y:4.747325 z:8.799460
x:-0.108004 y:4.747442 z:8.800575
x:-0.036003 y:4.747314 z:8.801234
x:0.036003 y:4.746939 z:8.801436
x:0.108012 y:4.746317 z:8.801182
x:0.180021 y:4.745450 z:8.800471
x:1.839821 y:34.633658 z:64.234919
x:2.365469 y:34.623733 z:64.223062
x:2.891091 y:34.612010 z:64.207868
x:3.416673 y:34.598490 z:64.189336
x:0.540028 y:4.737421 z:8.790063
x:0.612010 y:4.735076 z:8.786609
x:0.683982 y:4.732485 z:8.782697
x:0.755942 y:4.729647 z:8.778325
x:0.827889 y:4.726562 z:8.773495
x:0.899821 y:4.723230 z:8.768205
x:0.971736 y:4.719651 z:8.762455
x:1.043632 y:4.715825 z:8.756245
x:1.115508 y:4.711751 z:8.749574
x:1.187363 y:4.707429 z:8.742441
x:1.259194 y:4.702860 z:8.734846
x:1.330999 y:4.698042 z:8.726789
x:1.402778 y:4.692975 z:8.718268
x:1.474527 y:4.687660 z:8.709283
x:1.546246 y:4.682096 z:8.699833
x:1.617932 y:4.676282 z:8.689918
x:1.689583 y:4.670219 z:8.679537
x:1.761198 y:4.663906 z:8.668689
x:1.832775 y:4.657342 z:8.657373
x:1.904312 y:4.650527 z:8.645588
x:1.975806 y:4.643461 z:8.633334
x:2.047255 y:4.636144 z:8.620610
x:2.118659 y:4.628575 z:8.607414
x:2.190014 y:4.620753 z:8.593747
x:2.261318 y:4.612678 z:8.579606
x:2.332569 y:4.604350 z:8.564991
x:2.403766 y:4.595769 z:8.549902
x:2.474905 y:4.586933 z:8.534336
x:2.545985 y:4.577843 z:8.518293
x:2.617002 y:4.568498 z:8.501772
x:2.687956 y:4.558896 z:8.484772
x:2.758843 y:4.549039 z:8.467292
x:2.829661 y:4.538925 z:8.449330
x:2.900407 y:4.528554 z:8.430886
x:2.971080 y:4.517926 z:8.411958
x:3.041675 y:4.507039 z:8.392545
x:3.112191 y:4.495893 z:8.372647
x:3.182626 y:4.484488 z:8.352261
x:3.252975 y:4.472823 z:8.331387
x:3.323237 y:4.460897 z:8.310023
x:3.393409 y:4.448711 z:8.288169
x:3.463487 y:4.436263 z:8.265823
x:3.533469 y:4.423553 z:8.242984
x:3.603352 y:4.410579 z:8.219650
x:3.673133 y:4.397343 z:8.195820
x:3.742809 y:4.383843 z:8.171494
x:3.812375 y:4.370078 z:8.146669
x:3.881831 y:4.356047 z:8.121345
x:3.951171 y:4.341752 z:8.095520
x:4.020392 y:4.327189 z:8.069193
x:4.089492 y:4.312360 z:8.042363
x:4.158467 y:4.297264 z:8.015028
x:4.227313 y:4.281899 z:7.987188
x:4.296026 y:4.266265 z:7.958841
x:4.364603 y:4.250362 z:7.929985
x:4.433041 y:4.234190 z:7.900619
x:4.501335 y:4.217746 z:7.870743
x:-4.506636 y:4.194716 z:7.880012
x:-4.438463 y:4.210398 z:7.910284
x:-4.370143 y:4.225808 z:7.940050
x:-4.301679 y:4.240946 z:7.969313
x:-4.233073 y:4.255813 z:7.998072
x:-4.164330 y:4.270410 z:8.026329
x:-4.095453 y:4.284737 z:8.054085
x:-4.026445 y:4.298796 z:8.081342
x:-3.957311 y:4.312586 z:8.108100
x:-3.888052 y:4.326109 z:8.134361
x:-3.818673 y:4.339366 z:8.160125
x:-3.749176 y:4.352356 z:8.185394
x:-3.679564 y:4.365080 z:8.210169
x:-3.609841 y:4.377540 z:8.234451
x:-3.540010 y:4.389736 z:8.258241
x:-3.470073 y:4.401668 z:8.281540
x:-3.400034 y:4.413338 z:8.304350
x:-3.329894 y:4.424745 z:8.326670
x:-3.259658 y:4.435891 z:8.348503
x:-3.189328 y:4.446775 z:8.369849
x:-3.118906 y:4.457400 z:8.390710
x:-3.048395 y:4.467765 z:8.411086
x:-2.977798 y:4.477871 z:8.430978
x:-2.907117 y:4.487718 z:8.450388
x:-2.836354 y:4.497307 z:8.469316
x:-2.765513 y:4.506640 z:8.487764
x:-2.694596 y:4.515715 z:8.505732
x:-2.623605 y:4.524534 z:8.523221
x:-2.552542 y:4.533098 z:8.540231
x:-2.481409 y:4.541407 z:8.556765
x:-2.410210 y:4.549461 z:8.572823
x:-2.338946 y:4.557261 z:8.588405
x:-2.267619 y:4.564808 z:8.603513
x:-2.196232 y:4.572102 z:8.618147
x:-2.124786 y:4.579143 z:8.632307
x:-2.053284 y:4.585932 z:8.645996
x:-1.981728 y:4.592470 z:8.659213
x:-1.910120 y:4.598757 z:8.671959
x:-1.838462 y:4.604793 z:8.684235
x:-1.766756 y:4.610578 z:8.696042
x:-1.695003 y:4.616114 z:8.707379
x:-1.623206 y:4.621400 z:8.718249
x:-1.551367 y:4.626438 z:8.728650
x:-1.479488 y:4.631226 z:8.738585
x:-1.407570 y:4.635766 z:8.748052
x:-1.335615 y:4.640058 z:8.757054
x:-1.263625 y:4.644103 z:8.765589
x:-1.191603 y:4.647900 z:8.773660
x:-1.119549 y:4.651450 z:8.781266
x:-1.047465 y:4.654753 z:8.788407
x:-0.975354 y:4.657810 z:8.795084
x:-0.903217 y:4.660620 z:8.801297
x:-0.831055 y:4.663184 z:8.807046
x:-0.758871 y:4.665502 z:8.812333
x:-0.686666 y:4.667575 z:8.817156
x:-0.614442 y:4.669402 z:8.821516
x:-0.542200 y:4.670984 z:8.825414
x:-0.469942 y:4.672320 z:8.828849
x:-0.397671 y:4.673412 z:8.831822
x:-0.325387 y:4.674258 z:8.834333
x:-0.253092 y:4.674860 z:8.836381
x:-0.180788 y:4.675217 z:8.837967
x:-0.108477 y:4.675330 z:8.839091
x:-0.036160 y:4.675198 z:8.839752
x:0.036161 y:4.674821 z:8.839951
x:0.108484 y:4.674200 z:8.839688
x:0.180809 y:4.673334 z:8.838962
x:0.253132 y:4.672224 z:8.837774
x:0.325453 y:4.670869 z:8.836123
x:0.397769 y:4.669270 z:8.834008
x:0.470080 y:4.667426 z:8.831430
x:0.542383 y:4.665337 z:8.828389
x:0.614676 y:4.663004 z:8.824884
x:0.686958 y:4.660425 z:8.820914
x:0.759228 y:4.657602 z:8.816480
x:0.831483 y:4.654534 z:8.811581
x:0.903721 y:4.651220 z:8.806216
x:0.975942 y:4.647661 z:8.800386
x:1.048142 y:4.643856 z:8.794089
x:1.120321 y:4.639806 z:8.787325
x:1.192477 y:4.635509 z:8.780094
x:1.264607 y:4.630967 z:8.772395
x:1.336709 y:4.626178 z:8.764228
x:1.408783 y:4.621142 z:8.755591
x:1.480825 y:4.615859 z:8.746485
x:1.552835 y:4.610329 z:8.736908
x:1.624810 y:4.604552 z:8.726861
x:1.696748 y:4.598526 z:8.716341
x:1.768646 y:4.592253 z:8.705349
x:1.840504 y:4.585731 z:8.693884
x:1.912319 y:4.578961 z:8.681944
x:1.984089 y:4.571941 z:8.669530
x:2.055812 y:4.564672 z:8.656639
x:2.127485 y:4.557153 z:8.643273
x:2.199107 y:4.549384 z:8.629429
x:2.270675 y:4.541364 z:8.615106
x:2.342186 y:4.533093 z:8.600304
x:2.413640 y:4.524571 z:8.585022
x:2.485032 y:4.515796 z:8.569259
x:2.556362 y:4.506770 z:8.553013
x:2.627626 y:4.497490 z:8.536285
x:2.698822 y:4.487958 z:8.519072
x:2.769948 y:4.478172 z:8.501374
x:2.841001 y:4.468131 z:8.483190
x:2.911978 y:4.457836 z:8.464519
x:2.982877 y:4.447286 z:8.445359
x:3.053695 y:4.436480 z:8.425710
x:3.124429 y:4.425419 z:8.405570
x:3.195078 y:4.414100 z:8.384939
x:3.265637 y:4.402524 z:8.363815
x:3.336103 y:4.390691 z:8.342197
x:3.406475 y:4.378600 z:8.320083
x:3.476749 y:4.366250 z:8.297474
x:3.546922 y:4.353640 z:8.274367
x:3.616992 y:4.340771 z:8.250762
x:3.686953 y:4.327642 z:8.226657
x:3.756805 y:4.314252 z:8.202051
x:3.826543 y:4.300601 z:8.176943
x:3.896164 y:4.286687 z:8.151332
x:3.965665 y:4.272511 z:8.125217
x:4.035042 y:4.258073 z:8.098596
x:4.104292 y:4.243370 z:8.071468
x:4.173411 y:4.228404 z:8.043832
x:4.242396 y:4.213173 z:8.015687
x:4.311243 y:4.197677 z:7.987032
x:4.379949 y:4.181916 z:7.957866
x:4.448509 y:4.165888 z:7.928187
x:4.516919 y:4.149594 z:7.897994
x:-4.522125 y:4.126525 z:7.907096
x:-4.453835 y:4.142055 z:7.937679
x:-4.385390 y:4.157316 z:7.967752
x:-4.316796 y:4.172309 z:7.997319
x:-4.248055 y:4.187035 z:8.026379
x:-4.179171 y:4.201495 z:8.054934
x:-4.110148 y:4.215688 z:8.082985
x:-4.040990 y:4.229616 z:8.110533
x:-3.971698 y:4.243279 z:8.137579
x:-3.902278 y:4.256678 z:8.164124
